"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","417.4163003883749","319.9374392144042","4.822502193883435","-0.30896613792557315","0.024599999999999955","0.0256","0.023599999999999954","1400","0.00013437864010281108","0.00013437864010281108","0.00013437864010281108","","","true"
"1","229.75898401721682","302.3855469769998","4.77268976263383","-0.3102210761952548","0.009400000000000075","0.010800000000000032","0.008","1400","0.0001411840052693756","0.0001411840052693756","0.0001411840052693756","1_0:0.0026819267621233656","1_0:660","true"
"2","220.57655866112532","263.50501692776373","4.718295545440221","-0.3104037776462388","0.029900000000000038","0.0404","0.019399999999999973","1400","0.00029175900549558293","0.00029175900549558293","0.00029175900549558293","2_3:0.010100577411422645;2_1:0.007879566556619033","2_3:660;2_1:660","true"
"3","147.72421537459445","124.92620530889104","4.8001598208144065","-0.30888128433002476","0.029299999999999993","0.0336","0.025000000000000022","1400","0.00042421350444819475","0.00042421350444819475","0.00042421350444819475","3_4:0.030454868766788906","3_4:660","true"
"4","283.43538160001003","56.624159463377374","4.832841674186036","-0.308629272986329","0.2816666666666666","0.24333333333333335","0.31999999999999995","1400","0.000422656920169538","0.000422656920169538","0.000422656920169538","","","true"
"5","215.53004690535997","111.00225956177792","4.660660245944497","-0.31065594686359554","0.10166666666666668","0.09333333333333338","0.11","1400","0.0002460396433175935","0.0002460396433175935","0.0002460396433175935","5_4:0.012763089356433582","5_4:660","true"
"6","322.2311279315266","47.80679165731843","4.906944976015115","-0.3068148235588046","0.04279999999999995","0.04200000000000004","0.0436","1400","0.0002560716024280192","0.0002560716024280192","0.0002560716024280192","6_7:0.012037894972849628;6_5:0.009980516488227342","6_7:660;6_5:660","true"
"7","387.8255931768903","11.743649695275437","4.719543385636356","-0.31037202891110505","0.06666666666666665","0.04666666666666667","0.08666666666666667","1400","0.0005566479551278409","0.0005566479551278409","0.0005566479551278409","7_8:0.05396827799821036","7_8:660","true"
"8","292.76865496813673","9.060180315388745","4.63561650451556","-0.28702409316453614","0.18666666666666665","0.12333333333333334","0.25","1400","0.013361985501919407","0.013361985501919407","0.013361985501919407","8_16:1","8_16:660","true"
"9","435.7463916452498","83.53251190243513","4.716739043504186","-0.3104073125859284","0.09499999999999997","0.023333333333333334","0.16666666666666663","1400","0.0003476061544728661","0.0003476061544728661","0.0003476061544728661","9_8:0.047484011416725896;9_10:0.008912270877021788","9_8:660;9_10:660","true"
"10","275.17817872028024","329.2416099959279","4.669428651662416","0","0.07440000000000002","0.0912","0.057599999999999985","1400","0.0031811102014616503","0.0031811102014616503","0.0031811102014616503","","","true"
"11","265.5764797091597","402.4083266095455","4.725298992046864","-0.3101830225622285","0.06279999999999997","0.05740000000000001","0.0682","1400","0.00041110159785906746","0.00041110159785906746","0.00041110159785906746","11_10:0.011881378750606741","11_10:660","true"
"12","207.91728524145609","107.81446750725435","4.682901278487594","-0.31013218093198514","0.023499999999999965","0.0264","0.02059999999999995","1400","0.0001736590712453832","0.0001736590712453832","0.0001736590712453832","12_11:0.015320046852770164","12_11:660","true"
"13","231.29042968669498","100.87166946055203","4.729966600115867","0","0.0040999999999999925","0.0052","0.0030000000000000027","1400","0.0005855021339177632","0.0005855021339177632","0.0005855021339177632","13_12:0.005798532560882558","13_12:660","true"
"14","229.47101686036837","25.75505376001231","4.7403217299413765","-0.31041215354308554","0.09030000000000005","0.09799999999999998","0.0826","1400","0.00019145346761696694","0.00019145346761696694","0.00019145346761696694","14_0:0.004510730700829135;14_18:0.030869399214053378","14_0:660;14_18:660","true"
"15","429.0176157376114","181.78256205264051","4.6691156348872385","-0.31131069353860613","0.06499999999999995","0.023333333333333334","0.10666666666666669","1400","0.00019313252467835544","0.00019313252467835544","0.00019313252467835544","15_4:0.01277482357787621","15_4:660","true"
"16","7.717159571191255","332.4258176295806","4.686079832907678","0","0.4387","0.4468","0.4306","1400","0.046165690727967064","0.046165690727967064","0.046165690727967064","16_26:1","16_26:660","true"
"17","244.54866688606117","209.00908918406216","4.880382816260768","-0.30671781899604517","0.028799999999999937","0.029200000000000004","0.0284","1400","0.00018554894000518646","0.00018554894000518646","0.00018554894000518646","17_12:0.0062401260072802445;17_30:0.008036015526880602","17_12:660;17_30:660","true"
"18","228.31905665969487","101.24454913317014","4.652684529483674","-0.3108671975016885","0.013399999999999967","0.024599999999999955","0.0022","1400","0.0022760999584298556","0.0022760999584298556","0.0022760999584298556","18_19:0.02184281898151849","18_19:660","true"
"19","329.5589626792299","142.67689726520052","4.878871098870162","-0.30848203027556864","0.013299999999999979","0.01959999999999995","0.007","1400","0.00027884761608622623","0.00027884761608622623","0.00027884761608622623","","","true"
"20","256.3857915961941","173.297078925794","4.650836374916097","-0.31198978446892245","0.016699999999999937","0.0166","0.016800000000000037","1400","0.00021734683492584652","0.00021734683492584652","0.00021734683492584652","20_19:0.01088646364625756","20_19:748","true"
"21","399.81103619569177","118.50289008694763","4.568039842555541","0","0.015100000000000002","0.022800000000000042","0.0074","1400","0.00029175498085171997","0.00029175498085171997","0.00029175498085171997","21_20:0.003666228780858427;21_22:0.005650851991043981","21_20:660;21_22:660","true"
"22","334.8297374241736","190.07843112202366","4.768026187832822","-0.31007976218914873","0.07420000000000004","0.07340000000000002","0.075","1400","0.0001160685026818124","0.0001160685026818124","0.0001160685026818124","22_15:0.007518828000696365","22_15:660","true"
"23","354.3546024579717","12.859862497611491","4.825996967076271","-0.30896459047936825","0.06370000000000009","0.0632","0.06420000000000003","1400","0.0004428069306384311","0.0004428069306384311","0.0004428069306384311","23_22:0.015833771845729372","23_22:660","true"
"24","235.44939837802434","67.254943508678","5.019744222921711","-0.30541425054676014","0.2842","0.24819999999999998","0.3202","1400","0.00019665209089195402","0.00019665209089195402","0.00019665209089195402","24_34:0.009649444169516463;24_23:0.03443159983587221;24_25:0.006168119215579526","24_34:660;24_23:660;24_25:660","true"
"25","211.22155502367144","252.87427683804208","4.841823860340831","-0.3086237066221388","0.004899999999999904","0.0074","0.0023999999999999577","1400","0.00021907263190308192","0.00021907263190308192","0.00021907263190308192","25_26:0.005389504834861336","25_26:660","true"
"26","283.0615471553524","21.920860707524696","4.763749498844703","-0.30945351875840205","0.008499999999999952","0.009","0.008000000000000007","1400","0.0003840468249789345","0.0003840468249789345","0.0003840468249789345","","","true"
"27","434.6754321351909","157.8740984545607","4.886547454634391","0","0.011700000000000044","0.012599999999999945","0.0108","1400","0.00010304213332587086","0.00010304213332587086","0.00010304213332587086","27_28:0.0034287437284741817;27_26:0.00474213411408822","27_28:660;27_26:660","true"
"28","269.0148396320889","39.51496138143279","4.701217549305708","-0.3099488275329216","0.0041999999999999815","0.0040000000000000036","0.0044","1400","0.0003133724975691206","0.0003133724975691206","0.0003133724975691206","28_35:0.023413435863714083;28_29:0.002898159151791063","28_35:660;28_29:660","true"
"29","469.87859771424417","298.18968056130177","4.744293207805836","-0.31029420415842046","0.0049000000000000155","0.005600000000000049","0.0042","1400","0.00010304934641513884","0.00010304934641513884","0.00010304934641513884","","","true"
"30","153.72167754549756","92.00108087947314","4.922258939228432","-0.30754311932801587","0.054300000000000015","0.05300000000000005","0.0556","1400","0.00048136250367611236","0.00048136250367611236","0.00048136250367611236","30_29:0.01390554638733646","30_29:660","true"
